ad_idx,name,url
45,잇몸_라덴트,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%87%EB%AA%B8+%EA%B4%80%EB%A6%AC%EC%9A%A9%ED%8F%BC_4069_%EA%B3%B5%ED%86%B5/%EB%9D%BC%EB%8D%B4%ED%8A%B8+%ED%95%9C%EC%95%8C%EC%B9%98%EC%95%BD+X+%ED%99%8D%EC%A7%84%EC%98%81+Tvc%EA%B4%91%EA%B3%A0_30s+ver+-+%EA%B0%93%EB%8D%B0%EB%A6%AC+%EC%8B%9C%ED%81%AC%EB%A6%BF+%EC%95%84%EC%9D%B4%ED%85%9C.mp4
46,kt_5g,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC_1939_%EA%B3%B5%ED%86%B5+%2B+4069_%EB%82%A8%EC%9E%90/%EB%B0%95%EC%84%9C%EC%A4%80(Park+Seo-joon)+KT+CF+%233.mp4
47,kt_기가지니,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC_1939_%EA%B3%B5%ED%86%B5+%2B+4069_%EB%82%A8%EC%9E%90/%EA%B8%B0%EA%B0%80%EC%A7%80%EB%8B%88+%ED%99%88%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D+%ED%8E%B8+%5BKT%5D.mp4
48,kt_기가지니_노래방,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC_1939_%EA%B3%B5%ED%86%B5+%2B+4069_%EB%82%A8%EC%9E%90/%EA%B8%B0%EA%B0%80%EC%A7%80%EB%8B%88+%EB%85%B8%EB%9E%98%EB%B0%A9%ED%8E%B8+%5BKT%5D+%5B%ED%99%A9%EC%9E%AC%EA%B7%A0%5D.mp4
49,유플러스_5g,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC_1939_%EA%B3%B5%ED%86%B5+%2B+4069_%EB%82%A8%EC%9E%90/%5BU%2B5G%5D+%EC%9D%BC%EC%83%81%EC%9D%84+%EB%B0%94%EA%BF%89%EB%8B%88%EB%8B%A4_%EB%A0%88%EC%95%8C+U%2BAR_%EB%82%98%EB%A7%8C%EC%9D%98+%EC%9E%85%EC%B2%B4%EC%8A%A4%ED%83%80.mp4
50,sk브로드밴드,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC_1939_%EA%B3%B5%ED%86%B5+%2B+4069_%EB%82%A8%EC%9E%90/%5BSK%EB%B8%8C%EB%A1%9C%EB%93%9C%EB%B0%B4%EB%93%9C%5D+nice%2C+bro!+(%EB%82%98%EC%9D%B4%EC%8A%A4%2C+%EB%B8%8C%EB%A1%9C!)+B+tv+x+NUGU+%235.+%ED%99%88%EC%95%A4%EC%84%9C%EB%B9%84%EC%8A%A4+%EC%84%A4%EC%B9%98%EA%B8%B0%EC%82%AC+%EC%9D%B4%EC%84%9C%EC%A7%84+_+%ED%97%A8%EB%A6%AC+bro+-+30%EC%B4%88.mp4
51,lg_스타일러,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%98%EB%A5%98%EA%B4%80%EB%A6%AC%EA%B8%B0%EA%B8%B0_4069_%EA%B3%B5%ED%86%B5/LG+TROMM+%EC%8A%A4%ED%83%80%EC%9D%BC%EB%9F%AC+%EA%B4%91%EA%B3%A0+-+Styler+%EC%B2%AD%EB%B0%94%EC%A7%80+%ED%8E%B8+(TVCF+30%EC%B4%88).mp4
52,lg_스타일러_체크,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%98%EB%A5%98%EA%B4%80%EB%A6%AC%EA%B8%B0%EA%B8%B0_4069_%EA%B3%B5%ED%86%B5/LG+TROMM+%EC%8A%A4%ED%83%80%EC%9D%BC%EB%9F%AC+%E2%80%93+%EC%9D%98%EB%A5%98%EA%B4%80%EB%A6%AC+%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8+%ED%8E%B8+%EA%B4%91%EA%B3%A0.mp4
53,삼성_에어드레서_1,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%98%EB%A5%98%EA%B4%80%EB%A6%AC%EA%B8%B0%EA%B8%B0_4069_%EA%B3%B5%ED%86%B5/%EC%9D%98%EB%A5%98%EC%B2%AD%EC%A0%95%EA%B8%B0+%EC%82%BC%EC%84%B1+%EC%97%90%EC%96%B4%EB%93%9C%EB%A0%88%EC%84%9C+%EC%86%8C%EA%B0%9C+%EC%98%81%EC%83%81.mp4
54,삼성_에어드레서_2,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9D%98%EB%A5%98%EA%B4%80%EB%A6%AC%EA%B8%B0%EA%B8%B0_4069_%EA%B3%B5%ED%86%B5/%EC%A7%84%EC%A0%95%ED%95%9C+%EC%9D%98%EB%A5%98+%EC%B2%AD%EC%A0%95+%EC%82%BC%EC%84%B1+%EC%97%90%EC%96%B4%EB%93%9C%EB%A0%88%EC%84%9C+CF.mp4
